PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Overall_GPA_Term,Prior_Overall_Term_Desc,Prior_Overall_GPA_Term_Level,Prior_Term_Overall_GPA
351011,202210,Fall 2021,PHYS17200,37253,,,,
351059,202210,Fall 2021,PHYS17200,37254,,,,
351133,202210,Fall 2021,PHYS17200,37254,,,,
351195,202210,Fall 2021,PHYS17200,37254,,,,
351295,202210,Fall 2021,PHYS17200,37254,,,,
351377,202210,Fall 2021,PHYS17200,26979,,,,
351526,202210,Fall 2021,PHYS17200,26931,,,,
351658,202210,Fall 2021,PHYS17200,26931,,,,
351687,202210,Fall 2021,PHYS17200,37253,,,,
351717,202210,Fall 2021,PHYS17200,26931,,,,
351752,202210,Fall 2021,PHYS22000,10333,,,,
351777,202210,Fall 2021,PHYS17200,26930,,,,
351804,202210,Fall 2021,PHYS17200,26930,,,,
351834,202210,Fall 2021,PHYS17200,26931,,,,
351848,202210,Fall 2021,PHYS17200,26930,,,,
351876,202210,Fall 2021,PHYS17200,37253,,,,
351954,202210,Fall 2021,PHYS17200,26931,,,,
352017,202210,Fall 2021,PHYS17200,26930,,,,
352075,202210,Fall 2021,PHYS17200,26979,,,,
352123,202210,Fall 2021,PHYS17200,26930,,,,
352243,202210,Fall 2021,PHYS17200,26931,,,,
352309,202210,Fall 2021,PHYS17200,37254,,,,
352323,202210,Fall 2021,PHYS17200,26931,,,,
352364,202210,Fall 2021,PHYS17200,26979,,,,
352369,202210,Fall 2021,PHYS17200,37254,,,,
352387,202210,Fall 2021,PHYS17200,37253,,,,
352407,202210,Fall 2021,PHYS17200,37254,,,,
352421,202210,Fall 2021,PHYS17200,26931,,,,
352428,202210,Fall 2021,PHYS17200,37254,,,,
352498,202210,Fall 2021,PHYS17200,37254,,,,
352517,202210,Fall 2021,PHYS22000,10333,,,,
352535,202210,Fall 2021,PHYS17200,37253,,,,
352548,202210,Fall 2021,PHYS22000,27016,,,,
352567,202210,Fall 2021,PHYS17200,26930,,,,
352577,202210,Fall 2021,PHYS17200,37253,,,,
352603,202210,Fall 2021,PHYS17200,26931,,,,
352619,202210,Fall 2021,PHYS17200,37254,,,,
352620,202210,Fall 2021,PHYS17200,21307,,,,
352653,202210,Fall 2021,PHYS22000,10333,,,,
352656,202210,Fall 2021,PHYS17200,26930,,,,
352674,202210,Fall 2021,PHYS17200,26930,,,,
352696,202210,Fall 2021,PHYS17200,26930,,,,
352711,202210,Fall 2021,PHYS17200,26930,,,,
352719,202210,Fall 2021,PHYS17200,37254,,,,
352791,202210,Fall 2021,PHYS17200,26930,,,,
352806,202210,Fall 2021,PHYS17200,37253,,,,
352846,202210,Fall 2021,PHYS17200,37254,,,,
352852,202210,Fall 2021,PHYS17200,21307,,,,
352936,202210,Fall 2021,PHYS17200,26930,,,,
352955,202210,Fall 2021,PHYS17200,26931,,,,
353037,202210,Fall 2021,PHYS22000,27017,,,,
353042,202210,Fall 2021,PHYS17200,26930,,,,
353048,202210,Fall 2021,PHYS22000,27016,,,,
353132,202210,Fall 2021,PHYS22000,27016,,,,
353150,202210,Fall 2021,PHYS17200,37254,,,,
353185,202210,Fall 2021,PHYS17200,26930,,,,
353358,202210,Fall 2021,PHYS17200,26930,,,,
353368,202210,Fall 2021,PHYS17200,37254,,,,
353452,202210,Fall 2021,PHYS17200,37254,,,,
353497,202210,Fall 2021,PHYS17200,26979,,,,
353708,202210,Fall 2021,PHYS17200,37253,,,,
353722,202210,Fall 2021,PHYS17200,37254,,,,
353814,202210,Fall 2021,PHYS17200,37254,,,,
353903,202210,Fall 2021,PHYS22000,27017,,,,
353917,202210,Fall 2021,PHYS17200,37253,,,,
353924,202210,Fall 2021,PHYS17200,26930,,,,
353928,202210,Fall 2021,PHYS17200,37253,,,,
353936,202210,Fall 2021,PHYS17200,26930,,,,
353949,202210,Fall 2021,PHYS17200,37253,,,,
354093,202210,Fall 2021,PHYS17200,26979,,,,
354156,202210,Fall 2021,PHYS17200,26931,,,,
354209,202210,Fall 2021,PHYS17200,37253,,,,
354271,202210,Fall 2021,PHYS17200,37254,,,,
354342,202210,Fall 2021,PHYS17200,26931,,,,
354406,202210,Fall 2021,PHYS17200,26930,,,,
354507,202210,Fall 2021,PHYS17200,37253,,,,
354508,202210,Fall 2021,PHYS22000,27017,,,,
354516,202210,Fall 2021,PHYS17200,26930,,,,
354544,202210,Fall 2021,PHYS17200,37254,,,,
354546,202210,Fall 2021,PHYS22000,27016,,,,
354560,202210,Fall 2021,PHYS17200,26931,,,,
354598,202210,Fall 2021,PHYS17200,37254,,,,
354611,202210,Fall 2021,PHYS17200,37253,,,,
354660,202210,Fall 2021,PHYS17200,26930,,,,
354678,202210,Fall 2021,PHYS17200,26979,,,,
354725,202210,Fall 2021,PHYS22000,27016,,,,
354754,202210,Fall 2021,PHYS17200,37254,,,,
354765,202210,Fall 2021,PHYS17200,26931,,,,
354830,202210,Fall 2021,PHYS17200,26931,,,,
354868,202210,Fall 2021,PHYS17200,26930,,,,
354870,202210,Fall 2021,PHYS17200,26931,,,,
354920,202210,Fall 2021,PHYS17200,26930,,,,
354948,202210,Fall 2021,PHYS17200,37254,,,,
354997,202210,Fall 2021,PHYS17200,21307,,,,
355067,202210,Fall 2021,PHYS17200,21307,,,,
355081,202210,Fall 2021,PHYS17200,26930,,,,
355082,202210,Fall 2021,PHYS17200,37254,,,,
355192,202210,Fall 2021,PHYS17200,37254,,,,
355475,202210,Fall 2021,PHYS17200,37254,,,,
355550,202210,Fall 2021,PHYS17200,26931,,,,
355573,202210,Fall 2021,PHYS17200,37253,,,,
355581,202210,Fall 2021,PHYS17200,26979,,,,
355589,202210,Fall 2021,PHYS17200,37253,,,,
355594,202210,Fall 2021,PHYS17200,37254,,,,
355754,202210,Fall 2021,PHYS17200,26930,,,,
355781,202210,Fall 2021,PHYS17200,26931,,,,
355837,202210,Fall 2021,PHYS17200,37254,,,,
355903,202210,Fall 2021,PHYS17200,37254,,,,
356054,202210,Fall 2021,PHYS17200,37253,,,,
356125,202210,Fall 2021,PHYS17200,26979,,,,
356145,202210,Fall 2021,PHYS22000,27016,,,,
